id_zmienna;zmienna;id_przekroj;nazwa_przekroj;id_jednostka_terytorialna;jednostka_terytorialna;id_typ_informacji;typ_informacji;id_wymiar_2;nazwa_wymiar_2;id_pozycja_2;nazwa_pozycja_2;id_wymiar_3;nazwa_wymiar_3;id_pozycja_3;nazwa_pozycja_3;id_wymiar_4;nazwa_wymiar_4;id_pozycja_4;nazwa_pozycja_4;id_wymiar_5;nazwa_wymiar_5;id_pozycja_5;nazwa_pozycja_5;id_wymiar_6;nazwa_wymiar_6;id_pozycja_6;nazwa_pozycja_6;id_wymiar_7;nazwa_wymiar_7;id_pozycja_7;nazwa_pozycja_7;id_wymiar_8;nazwa_wymiar_8;id_pozycja_8;nazwa_pozycja_8;id_wymiar_9;nazwa_wymiar_9;id_pozycja_9;nazwa_pozycja_9;id_okres;id_daty;opis_okres;wartosc;id_braku_wartosci;oznaczenie_braku_wartosci;nazwa_braku_wartosci;id_tajnosci;oznaczenie_tajnosci;nazwa_tajnosci;id_flaga;oznaczenie_flagi;nazwa_flaga;notka
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801795;pierwotny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270;2023;2023 Q1;10378;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801796;wtórny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270;2023;2023 Q1;11045;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801797;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;270;2023;2023 Q1;10529;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801795;pierwotny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271;2023;2023 Q2;9741;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801796;wtórny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271;2023;2023 Q2;11508;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801797;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;271;2023;2023 Q2;10483;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801795;pierwotny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272;2023;2023 Q3;11053;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801796;wtórny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272;2023;2023 Q3;12195;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801797;Ogółem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;272;2023;2023 Q3;11667;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
307;Mediana cen za 1 m2 lokali mieszkalnych sprzedanych w ramach transakcji rynkowych;485;"Polska, województwa, powiaty; Rodzaj rynku nieruchomości";33710;Kraków;180;[zł];423;Rodzaj rynku nieruchomości;4801795;pierwotny rynek nieruchomości;;;;;;;;;;;;;;;;;;;;;;;;;;;;;273;2023;2023 Q4;12467;253;ND;Nie dotyczy;43;nd;Dane jawne;36;nd;Nie dotyczy;
