rodzaj_zabudowy,metry_kwadratowe,stan_mieszkania,okres,bialystok_wlasnosc_prywatna,bialystok_spółdzielnia,bydgoszcz_wlasnosc_prywatna,bydgoszcz_spółdzielnia,czestochowa_wlasnosc_prywatna,czestochowa_spółdzielnia,gdansk_wlasnosc_prywatna,gdansk_spółdzielnia,gdynia_wlasnosc_prywatna,gdynia_spółdzielnia,katowice_wlasnosc_prywatna,katowice_spółdzielnia,krakow_wlasnosc_prywatna,krakow_spółdzielnia,krakow_udział,lodz_wlasnosc_prywatna,lodz_spółdzielnia,lublin_wlasnosc_prywatna,lublin_spółdzielnia,poznan_wlasnosc_prywatna,poznan_spółdzielnia,radom_wlasnosc_prywatna,radom_spółdzielnia,rzeszow_wlasnosc_prywatna,rzeszow_spółdzielnia,szczecin_wlasnosc_prywatna,szczecin_spółdzielnia,warszawa_wlasnosc_prywatna,warszawa_spółdzielnia,wroclaw_wlasnosc_prywatna,wroclaw_spółdzielnia
apartamentowiec,49.63,wysoki_poziom_jakosci,styczen_2024,486000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,50.39,wysoki_poziom_jakosci,styczen_2024,666000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,55.48,wysoki_poziom_jakosci,styczen_2024,629900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,36.0,nizki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,723350.0,,,
apartamentowiec,36.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,789000.0,,681016.6666666666,
apartamentowiec,38.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,640000.0,,,,,,,,,,,,,,,,,,
apartamentowiec,41.5,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,850000.0,,660000.0,
apartamentowiec,48.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,700000.0,,,,,,,,,,,,,,,558000.0,,1197500.0,,,
apartamentowiec,49.0,wysoki_poziom_jakosci,styczen_2024,,,450000.0,,,,,,,,,,779000.0,,,,,,,,,,,,,,,900700.0,,649000.0,
apartamentowiec,54.1,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650000.0,
apartamentowiec,55.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,590000.0,,,,,,,,,,,,1072722.0,,,
apartamentowiec,57.7,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099000.0,,,
apartamentowiec,61.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380000.0,,852000.0,
apartamentowiec,80.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,1424750.0,,1497669.0,
apartamentowiec,87.0,wysoki_poziom_jakosci,styczen_2024,,,,,,,,,,,,,1390000.0,,,,,,,,,,,,,,,2255000.0,,,
apartamentowiec,33.0,wysoki_poziom_jakosci,styczen_2024,,,380000.0,,,,,,,,,,,,,,,,,,,,,,,,,795000.0,,480000.0,
apartamentowiec,46.8,wysoki_poziom_jakosci,styczen_2024,,,559000.0,,,,,,,,,,,,,,,,,,,,,,,,,960000.0,,,
apartamentowiec,60.5,wysoki_poziom_jakosci,styczen_2024,,,685000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,63.03,wysoki_poziom_jakosci,styczen_2024,,,789000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,71.72,wysoki_poziom_jakosci,styczen_2024,,,849000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,74.15,wysoki_poziom_jakosci,styczen_2024,,,704425.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.84,wysoki_poziom_jakosci,styczen_2024,,,615000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apartamentowiec,78.9,wysoki_poziom_jakosci,styczen_2024,,,640000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
